file,z,normalized,norm_factor,norm_window_min,norm_window_max,norm_error,err_norm_mean,err_norm_median
uncover-62-v4_prism-clear_2561_24175.spec.fits,7.0356536,True,6.352614657332418e-21,0.3446,0.3646,,0.3779353859002923,0.36576369801283726
uncover-62-v4_prism-clear_2561_58453.spec.fits,4.471244,True,1.1606812480576102e-19,0.3446,0.3646,,0.025613612072061313,0.02548975882140956
uncover-v4_prism-clear_2561_13123.spec.fits,7.0370483,True,7.834985782357563e-21,0.3446,0.3646,,0.1794223099497165,0.1780422724584649
uncover-v4_prism-clear_2561_15383.spec.fits,7.037048,True,1.1529226973831883e-20,0.3446,0.3646,,0.15616624894708128,0.1538762732315874
uncover-v4_prism-clear_2561_16594.spec.fits,7.0346375,True,2.0206926961642967e-21,0.3446,0.3646,,0.7758246735209303,0.772237322843701
uncover-v4_prism-clear_2561_20466.spec.fits,8.509481,True,8.511054562265264e-21,0.3446,0.3646,,0.5389483218889777,0.537726716955035
uncover-v4_prism-clear_2561_28876.spec.fits,7.0362444,True,4.46234086711015e-21,0.3446,0.3646,,0.5415434482710639,0.5309109920306186
uncover-v4_prism-clear_2561_38108.spec.fits,4.968462,True,1.5285272911708838e-20,0.3446,0.3646,,0.17848369894132715,0.18136306793095142
uncover-v4_prism-clear_2561_4286.spec.fits,5.8352246,True,1.477175184448618e-20,0.3446,0.3646,,0.21192388082463867,0.20976739820516135
uncover-v4_prism-clear_2561_45924.spec.fits,4.463361263885918,True,1.373611021497239e-19,0.3446,0.3646,,0.0116059129485818,0.011610553504952928
uncover-v4_prism-clear_2561_49702.spec.fits,4.866683,True,4.345088992035555e-21,0.3446,0.3646,,0.6476248860458844,0.6518414418916808
