,file,z,normalized,norm_factor,norm_error,median_flux_1500A,window_at_1500A,points_within_window1500A,median_flux_1900A,window_at_1900A,points_within_window1900A,median_flux_5500A,window_at_5500A,points_within_window5500A
30,/content/LRDs/DeGraaff_espectros/gto-wide-uds14-v4_prism-clear_1215_4446.spec.fits,4.68347,True,4.313897721348523e-20,,3.342180129065331,300.0,17.0,2.156842334169584,300.0,11.0,1.3973731572709096,200.00000000000017,9.0
31,/content/LRDs/DeGraaff_espectros/jades-gdn-v4_prism-clear_1181_39353.spec.fits,4.8533993,True,1.3310865989748978e-20,,7.041937469701467,300.0,17.0,4.619994628388863,300.0,11.0,1.0299339319392586,200.00000000000017,10.0
32,/content/LRDs/DeGraaff_espectros/jades-gdn-v4_prism-clear_1181_53501.spec.fits,3.43598,True,2.7370021740176686e-20,,3.044717121232584,300.0,25.0,2.860197618058095,300.0,14.0,1.2406784127562192,200.00000000000017,5.0
33,/content/LRDs/DeGraaff_espectros/jades-gdn-v4_prism-clear_1181_68797.spec.fits,5.043335,True,3.6295139252466985e-20,,2.3602652696625315,300.0,16.0,2.396398398292246,300.0,11.0,3.723586242939167,200.00000000000017,10.0
34,/content/LRDs/DeGraaff_espectros/jades-gdn09-v4_prism-clear_1181_73488.spec.fits,4.130943,True,2.329416861404108e-20,,4.407568266069402,300.0,20.0,3.0911325870789588,300.0,12.0,1.035766558477496,200.00000000000017,8.0
35,/content/LRDs/DeGraaff_espectros/jades-gdn198-v4_prism-clear_1181_39353.spec.fits,4.85197,True,1.8888167025058693e-20,,4.7408316378670445,300.0,17.0,2.7683617233183324,300.0,11.0,0.7621466943256274,200.00000000000017,10.0
36,/content/LRDs/DeGraaff_espectros/jades-gdn198-v4_prism-clear_1181_53501.spec.fits,3.43611,True,3.6149967645648893e-20,,3.5844919870875196,300.0,25.0,2.1888121933407363,300.0,14.0,1.0373958779722963,200.00000000000017,5.0
37,/content/LRDs/DeGraaff_espectros/jades-gdn198-v4_prism-clear_1181_68797.spec.fits,5.0410485,True,4.1703457263574247e-20,,1.983772720983379,300.0,16.0,1.4652167000552794,300.0,11.0,3.5515465291126285,200.00000000000017,10.0
38,/content/LRDs/DeGraaff_espectros/jades-gdn2-v4_prism-clear_1181_28074.spec.fits,2.2734878,True,3.1254225811798958e-19,,,300.0,1.0,2.398472133184381,300.0,22.0,1.854951602272409,200.00000000000017,4.0
39,/content/LRDs/DeGraaff_espectros/jades-gds-w09-v4_prism-clear_1212_2993.spec.fits,4.8245463,True,1.4959987260025823e-20,,2.0736244481133563,300.0,17.0,1.7108562308678041,300.0,11.0,3.1616407762515313,200.00000000000017,10.0
40,/content/LRDs/DeGraaff_espectros/jades-gds-wide-v4_prism-clear_1180_12402.spec.fits,3.1927059,True,2.3420390859388233e-20,,1.0887229058434058,300.0,28.0,2.073190698164408,300.0,15.0,4.149976484103738,200.00000000000017,6.0
41,/content/LRDs/DeGraaff_espectros/jades-gds-wide-v4_prism-clear_1180_13329.spec.fits,3.935016,True,3.033041652704962e-20,,4.195374875343545,300.0,21.0,2.8631241338032503,300.0,12.0,0.8125649521444298,200.00000000000017,7.0
42,/content/LRDs/DeGraaff_espectros/jades-gds02-v4_prism-clear_1286_38562.spec.fits,4.8218217,True,2.3459865460837222e-20,,3.849402492569598,300.0,17.0,2.682008104244127,300.0,11.0,0.5111047818949644,200.00000000000017,9.0
43,/content/LRDs/DeGraaff_espectros/jades-gds05-v4_prism-clear_1286_204851.spec.fits,5.485453,True,1.5193081681214417e-20,,3.590602550741692,300.0,15.0,2.9662051721431553,300.0,11.0,1.4924140127953172,200.00000000000017,11.0
44,/content/LRDs/DeGraaff_espectros/jades-gds06-v4_prism-clear_1286_159717.spec.fits,5.074387,True,2.5310165519673357e-20,,2.52967445953949,300.0,16.0,1.9476469351509087,300.0,11.0,0.9626115343776692,200.00000000000017,11.0
