"root","file","ra","dec","srcid","msamet","slitid","grating","exptime","wmin","wmax","sn50","flux50","ctime","version","References","nRef","zfit","z","grade","reviewer","comment","thumb","slit_thumb","FITS","fnu","flam","has_v3","flam_v3"
"rubies-egs51-v4","rubies-egs51-v4_g395m-f290lp_4233_927271.spec.fits","215.0782588","52.9484971","927271","jw04233005001_02_msa.fits","81","G395M_F290LP","2844.8","2.69","5.5","0.4","0.088","2025-01-22 21:46:22.822","0.9.5.dev2+g80b81b4","DKo24  z=6.790 ;  VKo24  z=N/A","2","6.7849","6.7849","3","Auto","Redshift matches rubies-egs51-v3_g395m-f290lp_4233_927271 z=6.7840","","","FITS   d2d","","","1",""
"rubies-egs52-v4","rubies-egs52-v4_g395m-f290lp_4233_29489.spec.fits","215.02207063","52.92078594","29489","jw04233005002_02_msa.fits","119","G395M_F290LP","2844.8","2.69","5.5","0.3","0.103","2025-01-22 22:00:33.950","0.9.5.dev2+g80b81b4","VKo24  z=N/A","1","4.5434","4.5434","3","Auto","Redshift matches rubies-egs52-nod-v3_prism-clear_4233_29489 z=4.5421","","","FITS   d2d","","","1",""
"rubies-egs52-v4","rubies-egs52-v4_g395m-f290lp_4233_37124.spec.fits","214.99097733","52.91652395","37124","jw04233005002_02_msa.fits","88","G395M_F290LP","2844.8","2.69","5.5","0.9","0.196","2025-01-22 22:11:08.135","0.9.5.dev2+g80b81b4","VKo24  z=N/A ;  DKo24  z=5.680 ;  GBa23  z=N/A ;  GBa23  z=N/A","4","5.6814","5.6814","3","Auto","Redshift matches rubies-egs52-v3_prism-clear_4233_37124 z=5.6792","","","FITS   d2d","","","1",""
"rubies-egs53-v4","rubies-egs53-v4_g395m-f290lp_4233_42046.spec.fits","214.79536781","52.78884663","42046","jw04233005003_02_msa.fits","81","G395M_F290LP","2844.8","2.69","5.5","2.2","0.761","2025-01-22 21:33:44.921","0.9.5.dev2+g80b81b4","DKo24  z=5.280 ;  VKo24  z=N/A","2","5.2772","5.2772","3","Auto","Redshift matches rubies-egs53-v3_prism-clear_4233_42046 z=5.2702","","","FITS   d2d","","","1",""
"rubies-egs61-v4","rubies-egs61-v4_g395m-f290lp_4233_61496.spec.fits","214.97244131","52.96219208","61496","jw04233006001_02_msa.fits","168","G395M_F290LP","2844.8","2.69","5.5","0.5","0.123","2025-01-22 21:33:32.905","0.9.5.dev2+g80b81b4","VKo24  z=N/A ;  DKo24  z=5.080","2","5.0795","5.0795","3","Auto","Redshift matches rubies-egs61-nod-v3_prism-clear_4233_61496 z=5.0759","","","FITS   d2d","","","1",""
"rubies-egs61-v4","rubies-egs61-v4_g395m-f290lp_4233_952625.spec.fits","214.9755288","52.9252681","952625","jw04233006001_02_msa.fits","189","G395M_F290LP","2844.8","2.69","5.5","0.3","0.069","2025-01-22 22:02:37.315","0.9.5.dev2+g80b81b4","GBa23  z=N/A ;  DKo24  z=5.110","2","5.1051","5.1051","3","Auto","Redshift matches rubies-egs61-v3_prism-clear_4233_952625 z=5.1031","","","FITS   d2d","","","1",""
"rubies-egs63-v4","rubies-egs63-v4_g395m-f290lp_4233_42232.spec.fits","214.88679216","52.85538053","42232","jw04233006003_02_msa.fits","85","G395M_F290LP","2844.8","3.41","5.5","1.3","0.6","2025-01-22 21:24:38.296","0.9.5.dev2+g80b81b4","VKo24  z=N/A ;  DKo24  z=4.950","2","4.9512","4.9512","3","Auto","Redshift matches valentino-egs-v3_g235m-f170lp_3567_42232 z=4.9537","","","FITS   d2d","","","1",""
"rubies-egs62-v4","rubies-egs62-v4_g395m-f290lp_4233_948917.spec.fits","214.8924789","52.8568903","948917","jw04233006002_02_msa.fits","168","G395M_F290LP","2844.8","2.69","5.5","0.7","0.173","2025-01-22 22:10:59.579","0.9.5.dev2+g80b81b4","VKo24  z=N/A","1","6.728","6.728","3","Auto","Redshift matches rubies-egs62-v3_g395m-f290lp_4233_948917 z=6.7302","","","FITS   d2d","","","1",""
"rubies-egs63-v4","rubies-egs63-v4_g395m-f290lp_4233_28812.spec.fits","214.92414907","52.84905034","28812","jw04233006003_02_msa.fits","143","G395M_F290LP","2844.8","2.69","5.5","1.7","0.391","2025-01-22 22:10:32.475","0.9.5.dev2+g80b81b4","VKo24  z=N/A","1","4.2246","4.2246","3","Auto","Redshift matches rubies-egs63-nod-v3_prism-clear_4233_28812 z=4.2223","","","FITS   d2d","","","1",""
"rubies-egs62-v4","rubies-egs62-v4_g395m-f290lp_4233_38434.spec.fits","214.88712333","52.84537637","38434","jw04233006002_02_msa.fits","294","G395M_F290LP","2844.8","2.69","5.5","0.7","0.233","2025-01-22 22:08:37.215","0.9.5.dev2+g80b81b4","-","0","2.852","2.852","3","Auto","Redshift matches rubies-egs63-nod-v3_prism-clear_4233_38434 z=2.8502","","","FITS   d2d","","","1",""
